days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
-5,IL-18,16,4,12,1180.19175,380.4835833,2.926119281,2.540635836,2.88263762,2.613420896,0.319089248,0.30369665,0.078021978,1.633115166,0.512661015
-4,IL-18,17,6,11,772.6501667,464.4036364,2.738998488,2.616792463,2.645729184,2.64975629,0.294588521,0.278392527,0.462346477,0.734436083,0.952255301
-3,IL-18,18,8,10,506.478625,413.1647,2.652954303,2.570643211,2.653950313,2.550194243,0.289667145,0.214825764,0.31541661,0.293784386,0.77875398
-2,IL-18,19,7,12,918.4627143,503.6865833,2.855182495,2.646931026,2.762400196,2.689488643,0.409070466,0.321615125,0.142216401,0.866694853,0.610028459
-1,IL-18,16,6,10,648.8478333,477.4288,2.786878674,2.637082326,2.824368329,2.604196905,0.252813251,0.273520295,0.180569431,0.442594583,0.65317557
0,IL-18,19,7,12,1167.031857,599.3549167,2.969058232,2.733672152,2.940497061,2.796426351,0.517028612,0.260682126,0.195562436,0.96136147,0.733359133
1,IL-18,15,5,10,921.9208,669.4809,2.927573384,2.779833072,3.064966116,2.766012135,0.360740525,0.206647567,0.254412254,0.461599921,0.857567288
2,IL-18,16,6,10,1616.660167,809.6647,3.1179655,2.87051292,3.01427237,2.923255433,0.400934589,0.238432218,0.147102897,0.997619961,0.245171495
3,IL-18,17,7,10,1314.913857,991.1576,3.094128738,2.945786956,3.119887731,2.925572143,0.287990111,0.206507409,0.13307281,0.407781911,0.181462922
4,IL-18,14,6,8,2671.367,1044.460125,3.345214967,3.000444935,3.262591685,3.03927395,0.509622521,0.220303721,0.042624043,1.354820776,0.063971276
5,IL-18,16,7,9,3165.694857,1706.644222,3.46533384,3.187113541,3.501784763,3.18937941,0.208244962,0.267891057,0.011538462,0.891359864,0.019230769
6,IL-18,14,6,8,3020.110667,1549.895,3.429045194,3.126495478,3.391388913,3.152167389,0.398466628,0.183040987,0.023714271,0.962430934,0.032337643
7,IL-18,12,6,6,4722.5445,2320.915,3.592670499,3.351653272,3.600092926,3.307703484,0.300812931,0.142287412,0.132034632,1.024870704,0.16504329
8,IL-18,10,4,6,3432.76525,1553.035833,3.484775812,3.156745987,3.488804059,3.179470481,0.424533838,0.169341932,0.069106525,1.144280084,0.09423617
9,IL-18,6,3,3,3164.505333,1808.135667,3.460683154,3.240157195,3.434879505,3.196889379,0.225471877,0.141747203,0.2,0.80747707,0.439950809
10,IL-18,6,1,5,5001,1678.2764,3.699056855,3.207669321,3.699056855,3.271380359,0,0.071889684,0.333333333,1.575236268,0.625
-10,IL-18BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9,IL-18BP,6,4,2,14157.733,7498.2435,4.070789533,3.871419136,4.107111855,3.871419136,0.325473546,0.055529459,0.533333333,0.916965691,0.952124798
-8,IL-18BP,10,5,5,13427.6542,11244.2422,4.008561241,4.008012503,4.071103813,3.969102847,0.62462678,0.271989341,1,0.256020854,1
-7,IL-18BP,12,7,5,12476.01457,11424.3572,4.06364637,4.038327508,4.042786899,4.084928432,0.090505446,0.29084402,0.876262626,0.12704415,0.938852814
-6,IL-18BP,12,6,6,17683.36833,9092.6075,4.172787246,3.916405222,4.282334037,3.880068792,0.052407404,0.208365358,0.093073593,0.959627123,0.698051948
